Summit,AWS Session ID,Session name,Abstract,Capacity,Session Date,Start Time,End Time,Session Duration,Session Topic,Session Tracks,Session Type,Session Level,Area of Interest,Target Roles,Industry,Sponsor,Total Speakers,AWS Speakers,External Speakers,Robotics [Session Topic],Networking [Session Topic],AI/ML [Session Topic],Architecture [Session Topic],Cloud Operations [Session Topic],Front-End Web & Mobile [Session Topic],Enterprise & Migration [Session Topic],Content Delivery [Session Topic],Business Applications [Session Topic],Hybrid Cloud [Session Topic],End-User Computing [Session Topic],Training & Certification [Session Topic],Analytics [Session Topic],Kubernetes [Session Topic],Compute [Session Topic],Internet of Things [Session Topic],Migration & Transfer [Session Topic],Serverless Containers and Functions [Session Topic],DevOps & Developer Productivity [Session Topic],Management & Governance [Session Topic],Database [Session Topic],Security/Identity/Compliance [Session Topic],Application Integration [Session Topic],Storage [Session Topic],Blockchain [Session Topic],Threat Detection & Incident Response [Area of Interest],Social Impact [Area of Interest],Customer Enablement [Area of Interest],Inclusion & Diversity [Area of Interest],Small and Midsize Business (SMB) [Area of Interest],Well-Architected Framework [Area of Interest],New to AWS [Area of Interest],Open Source [Area of Interest],Modernization [Area of Interest],Sustainability [Area of Interest],BuildOn.AWS  [Area of Interest],Identity & Access Management [Area of Interest],Customer Stories [Area of Interest],Open Data [Area of Interest],Event-Driven Architecture [Area of Interest],Digital Native Business (DNB) [Area of Interest],Governance/Risk/Compliance [Area of Interest],Resilience [Area of Interest],Application Security [Area of Interest],VMware [Area of Interest],GovCloud [Area of Interest],Network & Infrastructure Security [Area of Interest],Data Protection [Area of Interest],AWS Partners [Area of Interest],Business Intelligence [Area of Interest],Global Infrastructure [Area of Interest],Microsoft [Area of Interest],SAP [Area of Interest],AWS Marketplace [Area of Interest],Disaster Response & Recovery [Area of Interest],Independent Software Vendor (ISV) [Area of Interest],Workforce Development [Area of Interest],Oracle [Area of Interest],Edge Computing [Area of Interest],Startup [Area of Interest],SaaS [Area of Interest],Generative AI [Area of Interest],DeepRacer [Area of Interest],Price Performance [Area of Interest],Innovation on AWS [Area of Interest],Tech Explorer [Target Roles],Developer / Engineer [Target Roles],Data Engineer [Target Roles],IT Executive [Target Roles],IT Administrator [Target Roles],Data Scientist [Target Roles],DevOps Engineer [Target Roles],Venture Capitalist [Target Roles],Advisor / Consultant [Target Roles],Business Executive [Target Roles],System Administrator [Target Roles],Academic / Researcher [Target Roles],Press / Media Analyst [Target Roles],Student [Target Roles],Entrepreneur (Founder/Co-Founder) [Target Roles],Sales / Marketing [Target Roles],Cloud Security Specialist [Target Roles],Solution or Systems Architect [Target Roles],IT Professional or Technical Manager [Target Roles],Financial Services [Industry],Automotive [Industry],Telecommunications [Industry],Government [Industry],Travel & Hospitality [Industry],Manufacturing & Industrial [Industry],Healthcare [Industry],Media & Entertainment [Industry],Consumer Packaged Goods [Industry],Education [Industry],Advertising & Marketing [Industry],Retail [Industry],Sports [Industry],Mining & Minerals [Industry],Aerospace & Satellite [Industry],Life Sciences [Industry],Agriculture [Industry],Energy [Industry],Games [Industry],Nonprofit [Industry]
New York,ANT201,LaunchDarkly scales real-time pipelines by 100x using Amazon Kinesis,"LaunchDarkly, a feature management platform, faced multiple challenges in scaling their event data pipelines to meet demands from customer adoption and new use cases requiring zero data loss. Join this lightning talk to learn about the initial architecture limitations and the advantages LaunchDarkly gained by adopting Amazon Kinesis Data Streams and Amazon Kinesis Data Analytics. The talk covers how LaunchDarkly evaluated migration challenges and developed strategies to transition to Kinesis Data Streams. Key considerations such as data durability, isolation, and replayability are discussed alongside cost efficiency and performance optimization.",600,7/26/23,1/1/00 15:00,1/1/00 15:30,30,"Analytics,Migration & Transfer",Analytics,Customer Lightning Talk,200 - Intermediate,"Customer Stories,Innovation on AWS,Price Performance","Solution or Systems Architect,Developer / Engineer,DevOps Engineer","Retail,Financial Services,Media & Entertainment",0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
New York,ARC201,Continuous optimization with AWS Well-Architected and Trusted Advisor,"Are you using your cloud environment to its full potential? Are you getting the most out of AWS? It's important to ensure that your cloud environment is optimized to meet your business goals and that you're following AWS best practices. In this chalk talk, learn about the AWS Well-Architected Framework, AWS Well-Architected Tool, and AWS Trusted Advisor, and discover how to use them to identify areas of improvement and increase the efficiency of your cloud environment. With these powerful tools at your disposal, you can accelerate outcomes and achieve greater success with AWS.",100,7/26/23,1/1/00 9:45,1/1/00 10:45,60,Architecture,Architecture,Chalk Talk,200 - Intermediate,"Well-Architected Framework,Price Performance","Developer / Engineer,Solution or Systems Architect",,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,BIZ201,Questions about AWS Supply Chain? We deliver answers,"Join this chalk talk for a quick overview of AWS Supply Chain features and capabilities, followed by an interactive question-and-answer session to dive deep and learn more. Learn how to ingest and harmonize data from across your supply chain and use that data to derive actionable insights to improve your supply chain resilience and performance. Also, explore other capabilities such as ML-driven demand planning, supplier lead time variance detection, and built-in collaboration tools. Join us and bring your questions!",100,7/26/23,1/1/00 8:30,1/1/00 9:30,60,"Business Applications,Analytics",,Chalk Talk,200 - Intermediate,"SaaS,Business Intelligence",,,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,BIZ301,How to build smart self-service experiences with Amazon Connect,"Customers texting or calling your contact center expect a personalized experience and fast, accurate issue resolution. With the latest advanced natural language models and tools, you can provide an automated and human-like conversational experience for your customers. In this builders' session, design IVR and chatbot experiences using Amazon Connect with Amazon Lex and Amazon Polly. Learn how to create conversational self-service applications that integrate with your applications and enable self-service use cases that help you engage across your customers' channels of choice. You must bring your laptop to participate.",40,7/26/23,1/1/00 16:00,1/1/00 17:00,60,"Business Applications,Analytics,AI/ML",,Builders' Session,300 - Advanced,"Customer Enablement,SaaS","Developer / Engineer,IT Professional or Technical Manager,DevOps Engineer","Financial Services,Government,Travel & Hospitality",0,4,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,BSI301,Unify BI and paginated reporting with serverless Amazon QuickSight,"Learn how to satisfy both business intelligence (BI) and reporting needs with the same datasets by utilizing a single user-friendly BI service to accelerate your time to value and lower your BI costs. In this builders' session, participants learn how to build highly formatted paginated reports using a unified authoring experience in the cloud supported by serverless Amazon QuickSight. You must bring your laptop to participate.",40,7/26/23,1/1/00 9:00,1/1/00 10:00,60,"Analytics,Enterprise & Migration,AI/ML",Business Intelligence,Builders' Session,300 - Advanced,"Business Intelligence,Modernization,Digital Native Business (DNB)","IT Professional or Technical Manager,Data Engineer,Solution or Systems Architect",,0,4,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,CMP301,How to optimize large language model performance and inference costs,"Are you looking to deploy large language models (LLMs) and needing high performance and cost-efficiency? AWS Inferentia2 is an ML accelerator that is purpose-built to deliver optimal price performance for large-scale deep learning inference. In this builders' session, learn how to deploy an LLM using AWS Inferentia2. Get hands-on with a new library called transformers-neuronx that helps you get great inference performance using techniques such as tensor parallelism, key-value caching, parallel context encoding, and quantization. Finally, hear about the resources you need to get started with the examples covered in this session. You must bring your laptop to participate.",40,7/26/23,1/1/00 13:15,1/1/00 14:15,60,"AI/ML,Compute",Compute,Builders' Session,300 - Advanced,"Price Performance,Innovation on AWS,Generative AI","Data Scientist,Developer / Engineer","Media & Entertainment,Life Sciences,Advertising & Marketing",0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
New York,CMP302,Smart savings: Optimize your AWS compute costs,"With AWS cost and capacity optimization services and tools, you can spend more time building and less time managing compute costs. Join this builders' session to learn three ways to optimize your AWS compute spend. Explore how to use Amazon EC2 Spot Instances, right-size your elastic workloads with dynamic scaling in EC2 Auto Scaling groups, and maximize savings in your Kubernetes cluster using Karpenter. Walk away with best practices to reduce costs and increase the efficiency of your workloads. You must bring your laptop to participate.",40,7/26/23,1/1/00 14:30,1/1/00 15:30,60,"Compute,Kubernetes",Compute,Builders' Session,300 - Advanced,"Price Performance,Resilience","Developer / Engineer,DevOps Engineer,IT Professional or Technical Manager","Financial Services,Advertising & Marketing,Media & Entertainment",0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
New York,CMP401,Learnings from developers who adopted AWS Graviton,"AWS Graviton processors are custom-designed to enable the best price performance for a wide variety of workloads on AWS, including application servers, microservices, open sourceâ€“based databases and in-memory caches, gaming, high performance computing, and machine learning. Tens of thousands of organizations are running production workloads on AWS Graviton. In this chalk talk, hear how AWS has supported customers in their adoption journeys, from benchmarking to running in production.",100,7/26/23,1/1/00 8:30,1/1/00 9:30,60,"Compute,DevOps & Developer Productivity",Compute,Chalk Talk,400 - Expert,"Global Infrastructure,Open Source,Price Performance","Developer / Engineer,DevOps Engineer,IT Professional or Technical Manager","Advertising & Marketing,Media & Entertainment,Telecommunications",0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
New York,COP201,Fidelity's observability platform for telemetry,"In this lightning talk, learn how Fidelity Investments built an open source, centralized platform that unifies observability of telemetry at scale and in a cost-effective way while improving the developer experience. Review Fidelity's platform vision, architecture, lessons learned, and what's next for observability at Fidelity.",600,7/26/23,1/1/00 15:00,1/1/00 15:30,30,Cloud Operations,,Customer Lightning Talk,200 - Intermediate,Open Source,,,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,CPG201,Streamlining deployments with AWS CodePipeline,"Traditional software development processes often rely on manual management of resources and multiple gatekeeping points to ensure the quality and security of code. This often leads to delays and bottlenecks in the deployment process, hindering the ability to rapidly deliver new features and functionality to end users at a global scale. In this session, learn how you can accelerate traditional software development processes with increased security and reduced costs while delivering continuous value to customers.",250,7/26/23,1/1/00 16:00,1/1/00 17:00,60,"DevOps & Developer Productivity,Kubernetes,Security/Identity/Compliance",Consumer Packaged Goods,Breakout Session,200 - Intermediate,Price Performance,Business Executive,Retail,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
